Date,P(High),P(Med),P(Low)
2013-04-16,0.333333,0.333404,0.333333
2013-04-23,0.333333,0.333404,0.333333
2013-04-30,0.333333,0.333333,0.333333
2013-05-07,0.333333,0.333462,0.333333
2013-05-14,0.333333,0.333462,0.333333
2013-05-21,0.333333,0.333333,0.333333
2013-05-29,0.333333,0.333470,0.333333
2013-06-05,0.333333,0.333470,0.333333
2013-06-12,0.333333,0.333333,0.333333
2013-06-19,0.333333,0.333452,0.333333
2013-06-26,0.333333,0.333452,0.333333
2013-07-03,0.333333,0.333333,0.333333
2013-07-11,0.333333,0.333412,0.333333
2013-07-18,0.333333,0.333412,0.333333
2013-07-25,0.333333,0.333333,0.333333
2013-08-01,0.333333,0.333349,0.333333
2013-08-08,0.333333,0.333349,0.333333
2013-08-15,0.333333,0.333333,0.333333
2013-08-22,0.333333,0.333315,0.333333
2013-08-29,0.333333,0.333315,0.333333
2013-09-06,0.333333,0.333333,0.333333
2013-09-13,0.333333,0.333263,0.333333
2013-09-20,0.333333,0.333263,0.333333
2013-09-27,0.333333,0.333333,0.333333
2013-10-04,0.333333,0.333205,0.333333
2013-10-11,0.333333,0.333205,0.333333
2013-10-18,0.333333,0.333333,0.333333
2013-10-25,0.333333,0.333196,0.333333
2013-11-01,0.333333,0.333196,0.333333
2013-11-08,0.333333,0.333333,0.333333
2013-11-15,0.333333,0.333213,0.333333
2013-11-22,0.333333,0.333213,0.333333
2013-12-02,0.333333,0.333333,0.333333
2013-12-09,0.333333,0.333250,0.333333
2013-12-16,0.333333,0.333250,0.333333
2013-12-23,0.333333,0.333333,0.333333
2013-12-31,0.333333,0.333299,0.333333
2014-01-08,0.333333,0.333299,0.333333
2014-01-15,0.333333,0.333333,0.333333
2014-01-23,0.333333,0.333325,0.333333
2014-01-30,0.333333,0.333325,0.333333
2014-02-06,0.333333,0.333333,0.333333
2014-02-13,0.333333,0.333332,0.333333
2014-02-21,0.333333,0.333332,0.333333
2014-02-28,0.333333,0.333333,0.333333
2014-03-07,0.333333,0.333333,0.333333
2014-03-14,0.333333,0.333333,0.333333
2014-03-21,0.333333,0.333333,0.333333
2014-03-28,0.333333,0.333333,0.333333
2014-04-04,0.333333,0.333333,0.333333
2014-04-11,0.333333,0.333333,0.333333
2014-04-21,0.333333,0.333333,0.333333
2014-04-28,0.333333,0.333333,0.333333
2014-05-05,0.333333,0.333333,0.333333
2014-05-12,0.333333,0.333333,0.333333
2014-05-19,0.333333,0.333333,0.333333
2014-05-27,0.333333,0.333333,0.333333
2014-06-03,0.333333,0.333333,0.333333
2014-06-10,0.333333,0.333333,0.333333
2014-06-17,0.333333,0.333333,0.333333
2014-06-24,0.333333,0.333333,0.333333
2014-07-01,0.333333,0.333333,0.333333
2014-07-09,0.333333,0.333333,0.333333
2014-07-16,0.333333,0.333333,0.333333
2014-07-23,0.333333,0.333333,0.333333
2014-07-30,0.333333,0.333333,0.333333
2014-08-06,0.333333,0.333333,0.333333
2014-08-13,0.333333,0.333333,0.333333
2014-08-20,0.333333,0.333333,0.333333
2014-08-27,0.333333,0.333333,0.333333
2014-09-04,0.333333,0.333333,0.333333
2014-09-11,0.333333,0.333333,0.333333
2014-09-18,0.333333,0.333333,0.333333
2014-09-25,0.333333,0.333333,0.333333
2014-10-02,0.333333,0.333333,0.333333
2014-10-09,0.333333,0.333333,0.333333
2014-10-16,0.333333,0.333333,0.333333
2014-10-23,0.333333,0.333333,0.333333
2014-10-30,0.333333,0.333333,0.333333
2014-11-06,0.333333,0.333333,0.333333
2014-11-13,0.333333,0.333333,0.333333
2014-11-20,0.333333,0.333333,0.333333
2014-11-28,0.333333,0.333333,0.333333
2014-12-05,0.333333,0.333333,0.333333
2014-12-12,0.333333,0.333334,0.333333
2014-12-19,0.333333,0.333334,0.333333
2014-12-29,0.333333,0.333333,0.333333
2015-01-06,0.333333,0.333335,0.333333
2015-01-13,0.333333,0.333335,0.333333
2015-01-21,0.333333,0.333333,0.333333
2015-01-28,0.333333,0.333341,0.333333
2015-02-04,0.333333,0.333341,0.333333
2015-02-11,0.333333,0.333333,0.333333
2015-02-19,0.333333,0.333359,0.333333
2015-02-26,0.333333,0.333359,0.333333
2015-03-05,0.333333,0.333333,0.333333
2015-03-12,0.333333,0.333392,0.333333
2015-03-19,0.333333,0.333392,0.333333
2015-03-26,0.333333,0.333333,0.333333
2015-04-02,0.333333,0.333442,0.333333
2015-04-10,0.333333,0.333442,0.333333
2015-04-17,0.333333,0.333333,0.333333
2015-04-24,0.333333,0.333495,0.333333
2015-05-01,0.333333,0.333495,0.333333
